sample_id,method,threshold_policy,threshold_value,precision,recall,f1,iou,tp,fp,fn,tn,gt_changed_pixels,pred_changed_pixels
test_121,B3_CVA,validation_f1,0.4050000011920929,0.0644269321166874,0.053701071716667305,0.05857705522500629,0.030172227737730394,1398,20301,24635,1002242,26033,21699
test_122,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.0,0.0,0.0,0.0,0,2479,0,1046097,0,2479
test_122,B2_SSIM,validation_f1,0.8999999761581421,0.0,0.0,0.0,0.0,0,231112,0,817464,0,231112
test_122,B3_CVA,validation_f1,0.4050000011920929,0.0,0.0,0.0,0.0,0,2635,0,1045941,0,2635
test_123,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.0036213991769547325,0.005662805662805663,0.004417670682730923,0.0022137250955926746,22,6053,3863,1038638,3885,6075
test_123,B2_SSIM,validation_f1,0.8999999761581421,0.004990437153416174,0.34723294723294723,0.00983946141895391,0.004944054124381993,1349,268968,2536,775723,3885,270317
test_123,B3_CVA,validation_f1,0.4050000011920929,0.005786675007819831,0.009523809523809525,0.007199143885591983,0.0036125756688146844,37,6357,3848,1038334,3885,6394
test_124,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.025851763299462045,0.007993715922742815,0.012211477377002894,0.006143247753986009,173,6519,21469,1020415,21642,6692
test_124,B2_SSIM,validation_f1,0.8999999761581421,0.08575127379835386,0.3336105720358562,0.13643363977361841,0.07321104452488872,7220,76977,14422,949957,21642,84197
test_124,B3_CVA,validation_f1,0.4050000011920929,0.025424939294386516,0.008224748174845208,0.012428865691442935,0.006253293518355876,178,6823,21464,1020111,21642,7001
test_125,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.0,0.0,0.0,0.0,0,3553,0,1045023,0,3553
test_125,B2_SSIM,validation_f1,0.8999999761581421,0.0,0.0,0.0,0.0,0,174451,0,874125,0,174451
test_125,B3_CVA,validation_f1,0.4050000011920929,0.0,0.0,0.0,0.0,0,3875,0,1044701,0,3875
test_126,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.079923273657289,0.08307784662221555,0.08147003479558905,0.04246482268881778,3875,44609,42768,957324,46643,48484
test_126,B2_SSIM,validation_f1,0.8999999761581421,0.07397768393379214,0.4198915164118946,0.12579282881320553,0.06711788896504454,19585,245157,27058,756776,46643,264742
test_126,B3_CVA,validation_f1,0.4050000011920929,0.08252936864834882,0.08931672491049032,0.08578900763987563,0.04481690262059469,4166,46313,42477,955620,46643,50479
test_127,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.01579485273622596,0.013747371825974446,0.01470015997232911,0.007404503680473888,340,21186,24392,1002658,24732,21526
test_127,B2_SSIM,validation_f1,0.8999999761581421,0.03652321217343049,0.4044961992560246,0.0669970533083311,0.03465957122465666,10004,263904,14728,759940,24732,273908
test_127,B3_CVA,validation_f1,0.4050000011920929,0.016070659198621284,0.015081675562024907,0.015560468899920738,0.007841241144442809,373,22837,24359,1001007,24732,23210
test_128,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.010922330097087379,0.13559322033898305,0.020216201038888108,0.010211317543610836,72,6520,459,1041525,531,6592
test_128,B2_SSIM,validation_f1,0.8999999761581421,0.0012787231585745017,0.5630885122410546,0.0025516517464733443,0.0012774556842505523,299,233528,232,814517,531,233827
test_128,B3_CVA,validation_f1,0.4050000011920929,0.01105912377711612,0.14689265536723164,0.020569620253164556,0.010391686650679457,78,6975,453,1041070,531,7053
test_13,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.047971476419426284,0.008641662936219078,0.014645127773792148,0.007376579360530316,888,17623,101870,928195,102758,18511
test_13,B2_SSIM,validation_f1,0.8999999761581421,0.12715519987766494,0.38841744681679286,0.1915900636025441,0.10594393436269865,39913,273979,62845,671839,102758,313892
test_13,B3_CVA,validation_f1,0.4050000011920929,0.04912576991853765,0.009624554779189942,0.016095695337293516,0.008113140991460283,989,19143,101769,926675,102758,20132
test_14,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.056676197563746034,0.012749797342543967,0.020816699395064125,0.010517822876083037,1447,24084,112045,911000,113492,25531
test_14,B2_SSIM,validation_f1,0.8999999761581421,0.12813884182253046,0.414469742360695,0.19575684684947128,0.10849804058152865,47039,320055,66453,615029,113492,367094
test_14,B3_CVA,validation_f1,0.4050000011920929,0.05689285977996013,0.013578049554153596,0.021923771856193715,0.01108338068283982,1541,25545,111951,909539,113492,27086
test_15,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.014766064216613667,0.17089836167404301,0.02718341083260774,0.01377898532578755,2201,146857,10678,888840,12879,149058
